Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
KLINE BERNARD V,BERNARD.V.KLINE.TEST@US.NAVY.MIL,Active,No
KLINE COLIN A,,Deleted,No
KLINE DAMIAN S,,Active,No
KLINE IGNACIO G,,,No
KLINE JAMYA I,JAMYA.I.KLINE.TEST@US.NAVY.MIL,Active,Yes
KLINE JUDAH C SR,,,No
KLINE KATE L,,,No
KNAPP ARIANA C JR,,,No
KNAPP DEVYN Z,DEVYN.Z.KNAPP.TEST@US.NAVY.MIL,Active,Yes
KNAPP EVE D,,Deleted,No
KNAPP JOSIAH X,JOSIAH.X.KNAPP.TEST@US.NAVY.MIL,Active,No
KNAPP RAYNA Y,,,No
KNIGHT AMY Y,,,No
KNIGHT AYANNA I,,Active,Yes
KNIGHT DAWSON A,,,No
KNIGHT ELISA W,ELISA.W.KNIGHT.TEST@US.NAVY.MIL,Active,No
KNIGHT ELLA X,ELLA.X.KNIGHT.TEST@US.NAVY.MIL,Active,Yes
KNIGHT MAIA T,,Deleted,Yes
KNIGHT VALERIA M,,,No
KNIGHT ZAKARY R,,,Yes
KNOX CAROLINE M,CAROLINE.M.KNOX.TEST@US.NAVY.MIL,,Yes
KNOX DANDRE O,,,No
KNOX JAYLEE F,JAYLEE.F.KNOX.TEST@US.NAVY.MIL,Active,Yes
KNOX LEVI Y,,,No
KNOX SHANIYA C,SHANIYA.C.KNOX.TEST@US.NAVY.MIL,Active,No
KNOX SHANNON H,,,No
KOCH AMERICA A,AMERICA.A.KOCH.TEST@US.NAVY.MIL,Active,Yes
KOCH CALEB H,,,Yes
KOCH JAYLEEN L,JAYLEEN.L.KOCH.TEST@US.NAVY.MIL,Active,Yes
KOCH MADALYN L,,,No
KOCH MALIK S,,,Yes
KOCH NANCY M,,,No
KOCH PHILLIP M,,,No
KOCH TERRELL F,,,No
KRAMER ANAHI B,,,No
KRAMER CARINA Q,,,Yes
KRAMER DAVIN D,DAVIN.D.KRAMER.TEST@US.NAVY.MIL,Active,Yes
KRAMER JADON Y JR,,,No
KRAMER JANE H,JANE.H.KRAMER.TEST@US.NAVY.MIL,Active,No
KRAMER JILLIAN L,JILLIAN.L.KRAMER.TEST@US.NAVY.MIL,Active,Yes
KRAMER REGINA W,,,No
KRAMER RYLAND N,,,No
KRAUSE DOMINIQUE D,DOMINIQUE.D.KRAUSE.TEST@US.NAVY.MIL,Active,Yes
KRAUSE DONAVAN H,,,No
KRAUSE KYAN H,,,No
KRAUSE OLIVIA B,,,No
KRAUSE ROMAN H,ROMAN.H.KRAUSE.TEST@US.NAVY.MIL,Active,Yes
KRUEGER ELVIS T,,Active,Yes
KRUEGER FINNEGAN H,,,No
KRUEGER JAZLYN V,JAZLYN.V.KRUEGER.TEST@US.NAVY.MIL,Active,Yes
KRUEGER MEADOW U,,,No
KRUEGER REGAN J,,,No
KRUEGER RODNEY B,,,No
KRUEGER WINSTON W,WINSTON.W.KRUEGER.TEST@US.NAVY.MIL,Active,Yes
LAM ARYANNA E,,,No
LAM DIMITRI C,,,No
LAM HALLIE Y,,,No
LAM HARLEY D,,,Yes
LAM JAMISON S,,Deleted,Yes
LAM KAYA P,,,No
LAM MAXWELL N,,,No
LAMB ALINA R,ALINA.R.LAMB.TEST@US.NAVY.MIL,,No
LAMB ANDRE Y,ANDRE.Y.LAMB.TEST@US.NAVY.MIL,Active,Yes
LAMB JASMYN Z,,,No
LAMB KENDAL O,KENDAL.O.LAMB.TEST@US.NAVY.MIL,Active,Yes
LAMB MAKAYLA B,MAKAYLA.B.LAMB.TEST@US.NAVY.MIL,,No
LAMB MILO J,,,No
LAMB TRISTEN A,,,No
LAMBERT AEDAN Q,,,No
LAMBERT ASHTYN C,,,No
LAMBERT BRISA N,,,No
LAMBERT NATHALY S,,,Yes
LAMBERT NATHEN E,NATHEN.E.LAMBERT.TEST@US.NAVY.MIL,Active,Yes
LANDRY HENRY V,,,No
LANDRY RAY P,,Deleted,Yes
LANE DARIO G JR,,Active,No
LANE JON H,JON.H.LANE.TEST@US.NAVY.MIL,Deleted,Yes
LANE KARISSA E,KARISSA.E.LANE.TEST@US.NAVY.MIL,Active,Yes
LANG GEORGIA S,,Deleted,No
LANG GIDEON H,,,No
LANG ISAI K,,,No
LANG KEANU D,KEANU.D.LANG.TEST@US.NAVY.MIL,Active,Yes
LANG KEVEN E,KEVEN.E.LANG.TEST@US.NAVY.MIL,Active,No
LANG MORGAN V,,,No
LANG SIDNEY O,SIDNEY.O.LANG.TEST@US.NAVY.MIL,Active,No
LANG TAMIA P,,,Yes
LARA CAMILLE S,,,No
LARA EVE W,EVE.W.LARA.TEST@US.NAVY.MIL,Active,Yes
LARA GINA Z,GINA.Z.LARA.TEST@US.NAVY.MIL,Active,Yes
LARA JAYLAN A,,,No
LARA KEELY G,,,No
LARA TATIANA Z,,,No
LARA TORI W JR,TORI.W.LARA.TEST@US.NAVY.MIL,Active,Yes
LARA TRENT F,,,Yes
LARA TRYSTAN W,,,No
LARSEN AIDAN P,,,No
LARSEN EMERSON K,,,No
LARSEN JAYLAN K,,,No
LARSEN JEFFERSON L JR,,Deleted,Yes
LARSEN KONNOR G,,,No
LARSEN NYAH O,NYAH.O.LARSEN.TEST@US.NAVY.MIL,Active,Yes
LARSEN WARREN G JR,WARREN.G.LARSEN.TEST@US.NAVY.MIL,,No
LARSON ALVARO U,,,No
LARSON DARIEN Y,,,No
LARSON DIANE J,DIANE.J.LARSON.TEST@US.NAVY.MIL,Active,Yes
LARSON JARON X,,,No
LARSON JAZMYN G,,,Yes
LARSON KALEY V,KALEY.V.LARSON.TEST@US.NAVY.MIL,Active,Yes
LARSON KATHARINE N,KATHARINE.N.LARSON.TEST@US.NAVY.MIL,Active,Yes
LARSON PAULINA Q,,,No
LAWRENCE ANTON P,,,No
LAWRENCE AUSTIN I,,,No
LAWRENCE BRIANNA U,,,No
LAWRENCE EUGENE L,,,No
LAWRENCE GAVIN J,GAVIN.J.LAWRENCE.TEST@US.NAVY.MIL,Active,No
LAWRENCE HALEY U,HALEY.U.LAWRENCE.TEST@US.NAVY.MIL,Active,Yes
LAWRENCE SHELDON F,,,No
LAWRENCE STEPHANIE S,STEPHANIE.S.LAWRENCE.TEST@US.NAVY.MIL,Active,No
LAWRENCE ULISES B JR,ULISES.B.LAWRENCE.TEST@US.NAVY.MIL,Active,Yes
LAWSON ADOLFO R,,,No
LAWSON CAMREN R,CAMREN.R.LAWSON.TEST@US.NAVY.MIL,Active,No
LAWSON CITLALI A JR,,,No
LAWSON DELILAH M,,Deleted,Yes
LAWSON GABRIELA N,GABRIELA.N.LAWSON.TEST@US.NAVY.MIL,,No
LAWSON HENRY X,HENRY.X.LAWSON.TEST@US.NAVY.MIL,Active,No
LAWSON SUMMER A,SUMMER.A.LAWSON.TEST@US.NAVY.MIL,Active,No
LE ARMANDO M,,,No
LE CALLIE C,,,Yes
LE DASIA C,,,No
LE ISIS K,ISIS.K.LE.TEST@US.NAVY.MIL,Active,No
LE LARA F,,,No
LE LESLIE B,,Deleted,Yes
LE TANYA K,,,No
LEACH CLAIRE L,,,Yes
LEACH GUADALUPE V,,,No
LEACH KEENAN V,,,No
LEACH LILLIAN G,,,No
LEACH LILLIE U,,,No
LEACH MARTIN L,,,No
LEACH MAYA D,,,No
LEACH MOISES P,,,No
LEACH SARIAH R,,,Yes
LEBLANC ATHENA O,,,Yes
LEBLANC DOMINICK E,DOMINICK.E.LEBLANC.TEST@US.NAVY.MIL,,No
LEBLANC FATIMA Z,,,No
LEBLANC GANNON F,,,No
LEBLANC HADLEY N,,,Yes
LEBLANC JADYN F,JADYN.F.LEBLANC.TEST@US.NAVY.MIL,Active,Yes
LEBLANC JAKAYLA C,JAKAYLA.C.LEBLANC.TEST@US.NAVY.MIL,Active,Yes
LEBLANC LEAH N,,,Yes
LEBLANC MARTIN G,,,No
LEBLANC ROLANDO E,,,Yes
LEE HEAVEN Y JR,,,Yes
LEE JANAE W,,,No
LEE KELLI E,KELLI.E.LEE.TEST@US.NAVY.MIL,Active,No
LEON ALYSSA F,,,No
LEON ANA U II,ANA.U.LEON.TEST@US.NAVY.MIL,Active,Yes
LEON HELENA Y III,,Deleted,No
LEON MASON F,MASON.F.LEON.TEST@US.NAVY.MIL,Active,No
LEON REMINGTON G,,,No
LEON TANNER P,,Deleted,No
LEONARD CECILIA N,,,No
LEONARD CLAYTON O,,,No
LEONARD DYLAN Z,DYLAN.Z.LEONARD.TEST@US.NAVY.MIL,Active,Yes
LEONARD JAIME G,JAIME.G.LEONARD.TEST@US.NAVY.MIL,Active,Yes
LEONARD KYLER Q,,,No
LEONARD LORENZO V,,,No
LEONARD NOEMI T,,,No
LESTER GRACELYN E,GRACELYN.E.LESTER.TEST@US.NAVY.MIL,Active,Yes
LESTER JAYLENE N,,,Yes
LESTER LUCIA T,,,No
LESTER MAXWELL H,MAXWELL.H.LESTER.TEST@US.NAVY.MIL,Active,Yes
LESTER SAVANNAH E,,,Yes
LEVINE BRIANA G,BRIANA.G.LEVINE.TEST@US.NAVY.MIL,Deleted,No
LEVINE EMILIO L,EMILIO.L.LEVINE.TEST@US.NAVY.MIL,Active,No
LEVINE ERICK H,,,No
LEVINE INDIA P,,,No
LEVINE MARIELA Q,,,No
LEVINE MIA S,MIA.S.LEVINE.TEST@US.NAVY.MIL,,Yes
LEVINE NATASHA A,,,No
LEVINE TOBY R,,,Yes
LEVY ADOLFO F,,,No
LEVY ADRIANNA X,,,No
LEVY JADA L,,,Yes
LEVY JOHNNY Q,,,No
LEVY JULIEN E,JULIEN.E.LEVY.TEST@US.NAVY.MIL,Active,Yes
LEVY MALAKI A,,,No
LEVY NICO F,,,No
LEWIS ELLEN X,ELLEN.X.LEWIS.TEST@US.NAVY.MIL,Active,No
LEWIS QUINN I,,,No
LEWIS TRISTIAN N,,,No
LI ABDULLAH H,ABDULLAH.H.LI.TEST@US.NAVY.MIL,Active,Yes
LI JAY V,,,No
LI KALEY E,,,No
LI KINSLEY O III,,,No
LI LISA Q,,,No
LI MARIANA N,,,No
LI MIRIAM Z,MIRIAM.Z.LI.TEST@US.NAVY.MIL,Deleted,Yes
LI PARKER T JR,,,No
LI TOBY S,,,No
LIN JAKOB O,,,No
LIN JAVIER H,,,No
LIN KAYDENCE P,KAYDENCE.P.LIN.TEST@US.NAVY.MIL,Active,Yes
LIN KYA L,,,No
LIN MARSHALL L,,Active,No
LIN MARTHA T,,,No
LIN NOAH B,,,No
LIN SHERLYN C,SHERLYN.C.LIN.TEST@US.NAVY.MIL,Active,Yes
LINDSEY BRODERICK D,BRODERICK.D.LINDSEY.TEST@US.NAVY.MIL,Active,Yes
LINDSEY CAMILLA G,CAMILLA.G.LINDSEY.TEST@US.NAVY.MIL,Active,No
LINDSEY GIANA D,,,No
LINDSEY YASMINE W,YASMINE.W.LINDSEY.TEST@US.NAVY.MIL,Active,Yes
LITTLE ADAM F,ADAM.F.LITTLE.TEST@US.NAVY.MIL,Active,No
LITTLE AVERIE O,,,No
LITTLE CLARISSA K,CLARISSA.K.LITTLE.TEST@US.NAVY.MIL,Active,No
LITTLE EFRAIN J,,,Yes
LITTLE GARRET M,,,No
LITTLE ISABEL O,,,No
LITTLE MADELYNN Z,,,No
LITTLE RIHANNA C,,,No
LITTLE TROY V,,,No
LIU DEJA K JR,,,No
LIU JAGGER B,,,Yes
LIU YAHIR T,YAHIR.T.LIU.TEST@US.NAVY.MIL,Active,Yes
LIVINGSTON AMARION T,,,No
LIVINGSTON DONALD J,,Deleted,No
LIVINGSTON GERALD Q,,,No
LIVINGSTON IRVING H,,,No
LIVINGSTON JACK K JR,,Deleted,No
LIVINGSTON KASEY J,,,No
LIVINGSTON NICOLE I,,,No
LIVINGSTON PRINCE S,,,No
LLOYD BRENDAN U,,,No
LLOYD CHRIS Q,,,No
LLOYD JONATHON H,JONATHON.H.LLOYD.TEST@US.NAVY.MIL,Active,Yes
LLOYD MAXIM V,,,No
LLOYD TINA I,,,No
LLOYD WAYLON A,,,No
LLOYD WENDY Q,,,Yes
LOGAN ANGIE H,ANGIE.H.LOGAN.TEST@US.NAVY.MIL,Active,Yes
LOGAN AUBREY Q DR,AUBREY.Q.LOGAN.TEST@US.NAVY.MIL,,No
LOGAN CALISTA K,,,Yes
LOGAN JADEN A,,,Yes
LOGAN JAYLYNN Q,,,No
LONG ANTONY H,ANTONY.H.LONG.TEST@US.NAVY.MIL,,No
LONG KAYLYN G JR,KAYLYN.G.LONG.TEST@US.NAVY.MIL,Active,Yes
LONG LAYNE U,,,No
LONG NOEMI C,NOEMI.C.LONG.TEST@US.NAVY.MIL,Active,Yes
LONG ROWAN J,ROWAN.J.LONG.TEST@US.NAVY.MIL,Active,No
LOPEZ CITLALI V,,,No
LOPEZ GAEL W,GAEL.W.LOPEZ.TEST@US.NAVY.MIL,Active,No
LOPEZ IMMANUEL S,IMMANUEL.S.LOPEZ.TEST@US.NAVY.MIL,Active,No
LOPEZ MYA L,MYA.L.LOPEZ.TEST@US.NAVY.MIL,Active,Yes
LOPEZ NATALIE G,,,No
LOPEZ REBEKAH R,,,Yes
LOPEZ SAVANNA H,SAVANNA.H.LOPEZ.TEST@US.NAVY.MIL,Active,No
LOVE CRISTINA L,,Deleted,Yes
LOVE KOBE P,,Deleted,No
LOVE SAMMY F,SAMMY.F.LOVE.TEST@US.NAVY.MIL,Deleted,Yes
LOWE CLARE L,,,No
LOWE EMILY V,,,No
LOWE LARRY N,LARRY.N.LOWE.TEST@US.NAVY.MIL,Active,Yes
LOWE MARIN R,MARIN.R.LOWE.TEST@US.NAVY.MIL,Deleted,Yes
LOWE RAUL Q,,,No
LOWE SAVANNA A,SAVANNA.A.LOWE.TEST@US.NAVY.MIL,Active,Yes
LOWERY ASHLEY Z,,,No
LOWERY DOMENIC S,DOMENIC.S.LOWERY.TEST@US.NAVY.MIL,Active,Yes
LOWERY GRANT I,,,No
LOWERY KAYDEN A,KAYDEN.A.LOWERY.TEST@US.NAVY.MIL,Active,Yes
LOWERY RAMIRO Q,RAMIRO.Q.LOWERY.TEST@US.NAVY.MIL,Active,Yes
LOZANO BRETT I,,Deleted,Yes
LOZANO CASSIE H,,Active,No
LOZANO GAVIN T,GAVIN.T.LOZANO.TEST@US.NAVY.MIL,Active,No
LOZANO JANAE D,,,No
LOZANO JAYLYNN X,,,Yes
LOZANO MORGAN H,MORGAN.H.LOZANO.TEST@US.NAVY.MIL,Active,Yes
LOZANO PHOEBE J,PHOEBE.J.LOZANO.TEST@US.NAVY.MIL,Deleted,No
LOZANO RUBY V,,,No
LOZANO SKY M,,,No
LOZANO SOPHIE L,SOPHIE.L.LOZANO.TEST@US.NAVY.MIL,,No
LUCAS CAMILA U,,,No
LUCAS DAMIAN I,,,No
LUCAS ISRAEL U,ISRAEL.U.LUCAS.TEST@US.NAVY.MIL,Active,Yes
LUCAS KRISTIN F,KRISTIN.F.LUCAS.TEST@US.NAVY.MIL,Active,Yes
LUCAS LUCILLE F,,,Yes
LUCAS PAULA S,,,No
LUCAS REBECCA I,REBECCA.I.LUCAS.TEST@US.NAVY.MIL,Active,Yes
LUCAS STELLA P,STELLA.P.LUCAS.TEST@US.NAVY.MIL,Active,No
LUCERO ALAYNA C,,,Yes
LUCERO APRIL E,,,No
LUCERO BRAYAN T,,,No
LUCERO BRODERICK T,BRODERICK.T.LUCERO.TEST@US.NAVY.MIL,Deleted,No
LUCERO DANIKA C,DANIKA.C.LUCERO.TEST@US.NAVY.MIL,Active,Yes
LUCERO DANNY X,DANNY.X.LUCERO.TEST@US.NAVY.MIL,Active,Yes
LUCERO MILTON G,,,No
LUNA BRANDEN N,,,No
LUNA CHANA C,,,No
LUNA KAIDEN N,,,No
LUNA LYNDSEY J,LYNDSEY.J.LUNA.TEST@US.NAVY.MIL,Active,Yes
LUNA NATHANIEL G,,,No
LUNA STACEY L,STACEY.L.LUNA.TEST@US.NAVY.MIL,Active,Yes
LUNA TOBY V,TOBY.V.LUNA.TEST@US.NAVY.MIL,Active,No
LUNA VIOLET Q,VIOLET.Q.LUNA.TEST@US.NAVY.MIL,Active,Yes
LUTZ ANAHI S,,,No
LUTZ CAMREN P,CAMREN.P.LUTZ.TEST@US.NAVY.MIL,,No
LUTZ CHANEL O III,CHANEL.O.LUTZ.TEST@US.NAVY.MIL,Active,No
LUTZ GARRETT S,,,No
LUTZ JAKOB K,,,No
LUTZ JAREN O,,,Yes
LUTZ JEFFERY J,,,No
LUTZ LESLY Z,,,No
LUTZ ROGER D,ROGER.D.LUTZ.TEST@US.NAVY.MIL,Active,Yes
LYNCH DANIKA V,DANIKA.V.LYNCH.TEST@US.NAVY.MIL,Active,Yes
LYNCH JOANNA R,JOANNA.R.LYNCH.TEST@US.NAVY.MIL,Active,Yes
LYNCH MICHAEL D,MICHAEL.D.LYNCH.TEST@US.NAVY.MIL,Active,Yes
LYNCH NEIL K JR,NEIL.K.LYNCH.TEST@US.NAVY.MIL,Active,No
LYNN ALIZA Q,,,No
LYNN KAYLIE K,,Deleted,Yes
LYNN KINSEY M,,,No
LYNN MARLENE E,MARLENE.E.LYNN.TEST@US.NAVY.MIL,Active,No
LYNN PARIS M JR,PARIS.M.LYNN.TEST@US.NAVY.MIL,,Yes
LYNN RILEY K III,RILEY.K.LYNN.TEST@US.NAVY.MIL,Deleted,Yes
LYNN VINCENT M,,,No
LYONS BAILEY S,,,No
LYONS EDDIE A,,,No
MACDONALD DARYL T,,,No
MACDONALD DORIAN A,DORIAN.A.MACDONALD.TEST@US.NAVY.MIL,Active,Yes
MACDONALD JESUS F,,,No
MACDONALD MORGAN W,,,No
MACDONALD NORMAN B,NORMAN.B.MACDONALD.TEST@US.NAVY.MIL,Active,No
MACDONALD PATRICIA V,PATRICIA.V.MACDONALD.TEST@US.NAVY.MIL,,No
MACDONALD PERRY P,PERRY.P.MACDONALD.TEST@US.NAVY.MIL,Active,No
MACIAS DESIRAE D,,,No
MACIAS EMILIA F,,,No
MACIAS GENEVIEVE P JR,GENEVIEVE.P.MACIAS.TEST@US.NAVY.MIL,Active,No
MACIAS KENDAL G,,,No
MACIAS KENNETH W,,,No
MACIAS LAURYN C,LAURYN.C.MACIAS.TEST@US.NAVY.MIL,Active,Yes
MACIAS MADILYN S III,,,No
MACIAS NEVAEH G,,,No
MACIAS THADDEUS X,THADDEUS.X.MACIAS.TEST@US.NAVY.MIL,,Yes
MACK ANISSA A,,,No
MACK SUMMER X,,,No
MADDEN ENZO T,,,No
MADDEN GIANCARLO E,,,No
MADDEN KENZIE V,KENZIE.V.MADDEN.TEST@US.NAVY.MIL,Active,Yes
MADDEN MAYRA F,,,No
MADDEN NATHAN S,,,No
MADDOX BRYANNA E,BRYANNA.E.MADDOX.TEST@US.NAVY.MIL,Active,No
MADDOX JAZLYN C,,,No
MADDOX LUIS N,,,No
MADDOX NATHANAEL P,,,No
MADDOX REBEKAH H,,Active,No
MAHONEY COLIN R,,,No
MAHONEY GARRETT V,,,No
MAHONEY HANA W,,,No
MALDONADO ANTON T,,,No
MALDONADO CALLIE A,,,No
MALDONADO CARLEE U,CARLEE.U.MALDONADO.TEST@US.NAVY.MIL,Deleted,Yes
MALDONADO CONNER H,,,No
MALDONADO DEANDRE F,,Deleted,Yes
MALDONADO HUNTER W,HUNTER.W.MALDONADO.TEST@US.NAVY.MIL,Active,Yes
MALDONADO ISABELA I,,,No
MALDONADO JERAMIAH D,,,No
MALDONADO JOHNATHAN R,JOHNATHAN.R.MALDONADO.TEST@US.NAVY.MIL,Active,Yes
MALDONADO REESE B,,Active,No
MALDONADO VIOLET U,,Active,No
MALONE ALIVIA S,,,Yes
MALONE CITLALI O,CITLALI.O.MALONE.TEST@US.NAVY.MIL,Active,No
MALONE IRVING V,IRVING.V.MALONE.TEST@US.NAVY.MIL,Active,Yes
MALONE JOHNATHAN M III,,Deleted,Yes
MALONE JOY L III,JOY.L.MALONE.TEST@US.NAVY.MIL,Active,Yes
MALONE LINDA W,LINDA.W.MALONE.TEST@US.NAVY.MIL,,Yes
MALONE SEAN Z,,,No
MANN HECTOR X,,,No
MANN IVY T,,,Yes
MANN KIANA B,,,Yes
MANN MOHAMED Q,MOHAMED.Q.MANN.TEST@US.NAVY.MIL,,Yes
MANN THADDEUS O,,,No
MANNING ANNABELLA A,ANNABELLA.A.MANNING.TEST@US.NAVY.MIL,Active,Yes
MANNING BRETT A,BRETT.A.MANNING.TEST@US.NAVY.MIL,Active,No
MANNING HEIDI S,HEIDI.S.MANNING.TEST@US.NAVY.MIL,,Yes
MANNING JUAN B,,,No
MANNING MARGARET E,,Deleted,Yes
MANNING MARGARITA S,MARGARITA.S.MANNING.TEST@US.NAVY.MIL,Active,Yes
MANNING MATEO P,,,Yes
MARKS AUGUST X,,Deleted,Yes
MARKS BROOKLYN P,,,No
MARKS KYLIE U III,,,No
MARKS ROHAN N,,,No
MARQUEZ DEMETRIUS I,DEMETRIUS.I.MARQUEZ.TEST@US.NAVY.MIL,Active,Yes
MARQUEZ JAKOB A,,,No
MARQUEZ MARISOL L,,,No
MARQUEZ PATRICK F,,,No
MARQUEZ STANLEY Y,,,Yes
MARSH AMARI D,,,No
MARSH CLAUDIA N,,Deleted,Yes
MARSH DAMION R,DAMION.R.MARSH.TEST@US.NAVY.MIL,Active,Yes
MARSH DESTIN I,DESTIN.I.MARSH.TEST@US.NAVY.MIL,Active,No
MARSH JASON W,,,No
MARSH JUSTUS X,,,Yes
MARSH KAILEE F,KAILEE.F.MARSH.TEST@US.NAVY.MIL,Active,No
MARSH KAYLYN Z,,,No
MARSHALL CLIFFORD A,,,Yes
MARSHALL ELLA O,,,No
MARSHALL HOWARD T,,,No
MARSHALL JASPER F,JASPER.F.MARSHALL.TEST@US.NAVY.MIL,Active,No
MARSHALL JOVANNI L JR,,,No
MARSHALL KARLA W,KARLA.W.MARSHALL.TEST@US.NAVY.MIL,,No
MARSHALL KENNEDI R,,,No
MARSHALL MAX S,MAX.S.MARSHALL.TEST@US.NAVY.MIL,,Yes
MARSHALL RYLEE I,RYLEE.I.MARSHALL.TEST@US.NAVY.MIL,Active,Yes
MARTIN ABRAM U,,,No
MARTIN BABY C,,,No
MARTIN DEANNA Q,,,No
MARTIN EMILIE Z,EMILIE.Z.MARTIN.TEST@US.NAVY.MIL,Deleted,Yes
MARTIN JAVIER Y,JAVIER.Y.MARTIN.TEST@US.NAVY.MIL,Active,Yes
MARTIN JOAQUIN E,,,No
MARTIN KRYSTAL K,KRYSTAL.K.MARTIN.TEST@US.NAVY.MIL,,Yes
MARTIN MAKAILA M,,Active,No
MARTIN TRISTAN R,,,No
MARTIN TYRA E,TYRA.E.MARTIN.TEST@US.NAVY.MIL,Active,No
MARTINEZ AVERIE O,,,No
MARTINEZ ERICK W,,,No
MARTINEZ JANE Z,,,Yes
MARTINEZ PHOENIX L,,,No
MARTINEZ SANTOS E,,,No
MASON CAMPBELL K,,,Yes
MASON CEDRIC N,,,No
MASON CHANDLER N,,,No
MASON DARIEN R,,,No
MASON ISAAK L,,,Yes
MASON JIMENA N,JIMENA.N.MASON.TEST@US.NAVY.MIL,Active,Yes
MASON LAMONT G,LAMONT.G.MASON.TEST@US.NAVY.MIL,Active,Yes
MASON MATHIAS P JR,,,No
MASSEY PAOLA K,,Active,No
MATA ADDISYN V,ADDISYN.V.MATA.TEST@US.NAVY.MIL,Active,Yes
MATA AINSLEY E,,,No
MATA ARELI Q,,,No
MATA DEMETRIUS B,DEMETRIUS.B.MATA.TEST@US.NAVY.MIL,Active,Yes
MATA KAYLEIGH R,KAYLEIGH.R.MATA.TEST@US.NAVY.MIL,Deleted,No
MATA KAYLEN Q,,,No
MATA KAYLIN N,,,No
MATA SILAS E,,,No
MATHEWS ADRIANA D JR,,,No
MATHEWS BRUNO L,BRUNO.L.MATHEWS.TEST@US.NAVY.MIL,Active,No
MATHEWS CARLY E,,,No
MATHEWS CLAYTON G,,Deleted,No
MATHEWS DEON X,DEON.X.MATHEWS.TEST@US.NAVY.MIL,Active,Yes
MATHEWS EBONY L,,Deleted,No
MATHEWS KAMRYN C,KAMRYN.C.MATHEWS.TEST@US.NAVY.MIL,Active,Yes
MATHEWS LEONARD E,LEONARD.E.MATHEWS.TEST@US.NAVY.MIL,Deleted,No
MATHEWS LEVI W JR,,,No
MATHEWS LILIANA U,LILIANA.U.MATHEWS.TEST@US.NAVY.MIL,Active,Yes
MATHEWS ROGELIO L,,,No
MATHEWS SIENA N,,Active,Yes
MATHEWS TAYLOR K,TAYLOR.K.MATHEWS.TEST@US.NAVY.MIL,Active,Yes
MATHIS ARELY I,ARELY.I.MATHIS.TEST@US.NAVY.MIL,,No
MATHIS CARMEN I,,,No
MATHIS CHANEL J,,,No
MATHIS EMANUEL R,EMANUEL.R.MATHIS.TEST@US.NAVY.MIL,Active,Yes
MATHIS FERNANDO X,,,No
MATHIS GIOVANNY Q,GIOVANNY.Q.MATHIS.TEST@US.NAVY.MIL,Active,No
MATHIS ITZEL N JR,ITZEL.N.MATHIS.TEST@US.NAVY.MIL,Deleted,Yes
MATHIS MOLLY A III,,,No
MATHIS REGINA Y JR,REGINA.Y.MATHIS.TEST@US.NAVY.MIL,Active,No
MATTHEWS ASHTYN I,,,No
MATTHEWS HOLDEN Q,HOLDEN.Q.MATTHEWS.TEST@US.NAVY.MIL,Active,Yes
MATTHEWS INDIA Y,,,No
MATTHEWS KOLBY S,,,No
MATTHEWS MALAKI S,,,No
MATTHEWS RYANN O,RYANN.O.MATTHEWS.TEST@US.NAVY.MIL,Active,Yes
MAXWELL ARYAN U,,,No
MAXWELL ARYANA W,,,No
MAXWELL ATTICUS V,,Deleted,No
MAXWELL JULIET M,JULIET.M.MAXWELL.TEST@US.NAVY.MIL,Deleted,No
MAXWELL KOLBY N,KOLBY.N.MAXWELL.TEST@US.NAVY.MIL,Active,No
MAXWELL LIBBY C,LIBBY.C.MAXWELL.TEST@US.NAVY.MIL,Active,No
MAXWELL MADELEINE U,MADELEINE.U.MAXWELL.TEST@US.NAVY.MIL,Active,Yes
MAXWELL MASON R,MASON.R.MAXWELL.TEST@US.NAVY.MIL,Active,No
MAY HARRY N,HARRY.N.MAY.TEST@US.NAVY.MIL,Active,Yes
MAY HERIBERTO G,,,Yes
MAY JUAN F,,,No
MAY LIA T,,,No
MAY LILIAN P,,,No
MAY LUKA J,LUKA.J.MAY.TEST@US.NAVY.MIL,Deleted,No
MAYER GIANNA H,,,No
MAYER GUNNAR R,GUNNAR.R.MAYER.TEST@US.NAVY.MIL,Active,Yes
MAYER KARLA E,KARLA.E.MAYER.TEST@US.NAVY.MIL,Active,Yes
MAYNARD ALAYNA T,ALAYNA.T.MAYNARD.TEST@US.NAVY.MIL,Active,Yes
MAYNARD JORDYN L,,,No
MAYNARD KOLE U,,,No
MAYNARD NICOLETTE Q,,,No
MAYNARD OCTAVIO B,OCTAVIO.B.MAYNARD.TEST@US.NAVY.MIL,Active,Yes
MAYO ANNABEL T,,Active,No
MAYO ERICK A,ERICK.A.MAYO.TEST@US.NAVY.MIL,Active,Yes
MAYO HAYLIE E,,,No
MAYO JANELLE Z,JANELLE.Z.MAYO.TEST@US.NAVY.MIL,Active,Yes
MAYO JIMENA Y,JIMENA.Y.MAYO.TEST@US.NAVY.MIL,Active,Yes
MAYO JULIEN W,,,No
MAYO MALLORY A,,,Yes
MAYO PAYTON N,PAYTON.N.MAYO.TEST@US.NAVY.MIL,Active,Yes
MAYO ZANE T,,,Yes
MAYS DARNELL Z,DARNELL.Z.MAYS.TEST@US.NAVY.MIL,Active,No
MAYS DESTIN M,,,No
MAYS ELISA W JR,,,No
MAYS GRIFFIN H,,,No
